url,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,paliva,nox,co,voc,tzl,so2,ostatni,amoniak,co2
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200572_CZ.html,MORITZ ZDEKAUER  1810 s.r.o. - Plesná,234100, 389,351 35 Plesná,"50° 12´ 52.998"" sš 12° 21´ 1.000"" vd",3825272,,,"0,283","0,059",n/a,"0,001","0,000","0,072",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/709520023_CZ.html,NBHX Trim CZ - lakovací box,293200,8,350 02 Okrouhlá,"50° 4´ 35.331"" sš 12° 29´ 12.738"" vd",55156215,,,n/a,n/a,"0,000","0,000",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410270232_CZ.html,Pavel Dragoun - Kamenolom Slapany,081200,Slapany 272,350 02 Cheb,"50° 1´ 50.756"" sš 12° 23´ 8.589"" vd",n/a,,,n/a,n/a,n/a,"1,300",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410503872_CZ.html,"PENAM, a.s. - Pekárna Klimentov",107100,135,353 01 Velká Hleďsebe,"49° 57´ 50.650"" sš 12° 40´ 33.623"" vd",3840115,"3,4",zemní plyn (průměrná výhř. 34050 kJ/m3),"1,015","0,249",n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410170132_CZ.html,Petainer Czech Holdings s.r.o.,222200,Skandinávská 2708/2,352 01 Aš,"50° 12´ 27.963"" sš 12° 12´ 5.331"" vd",26706407,,,n/a,n/a,"0,435",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/778330511_CZ.html,"Praní a čištění, spol. s r.o.",960100,Pohraniční stráže 166,353 01 Velká Hleďsebe,"49° 57´ 43.742"" sš 12° 40´ 47.472"" vd",3841715,"3,1",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,934","0,013","0,621",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910113_CZ.html,"Primagra, a.s. - Cheb kotelna",109100,Podhradská 2239/3,350 02 Cheb,"50° 4´ 1.040"" sš 12° 23´ 28.739"" vd",20914920,"0,8",hnědé uhlí tříděné,"0,713","0,353",n/a,"0,137",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/701740043_CZ.html,"Primagra, a.s. - Nebanice",109100,30,350 02 Nebanice,"50° 6´ 56.093"" sš 12° 28´ 29.531"" vd",26697807,"0,4",,"0,022","0,045",n/a,"0,028",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/676650013_CZ.html,Sedlecký kaolin a.s. - lom Skalná,081200,,351 34 Velký Luh,"50° 11´ 46.572"" sš 12° 22´ 42.449"" vd",n/a,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/748100013_CZ.html,Sedlecký kaolin a.s. - Závod Velký Luh,081200,,351 34 Skalná,"50° 11´ 33.100"" sš 12° 22´ 16.847"" vd",75875501,,,"0,004","0,001",n/a,"0,003",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/647640033_CZ.html,Schlaeger M-Tech,000000,Sportovní 881,351 24 Hranice,"50° 18´ 32.407"" sš 12° 10´ 38.076"" vd",25809059,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/651050671_CZ.html,SCHNEEBERGER Mineralgusstechnik s.r.o.,239900,Průmyslový park 32/20,350 02 Cheb,"50° 5´ 11.105"" sš 12° 24´ 56.321"" vd",26697793,"1,0",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,021","0,001","2,850",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/673340281_CZ.html,"Slévárna HEUNISCH, s.r.o.",245300,253,352 01 Krásná,"50° 13´ 51.006"" sš 12° 10´ 30.928"" vd",26731088,"1,0",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,578","0,012",n/a,"0,303",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410201582_CZ.html,"Stanislav Musil, s.r.o. - Cheb",467300,Pekařská 2398/11,350 02 Cheb,"50° 5´ 1.163"" sš 12° 22´ 47.183"" vd",26842289,"0,3",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,026","0,001","0,239","0,005",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/694810013_CZ.html,stavební,081100,,350 02 Milhostov,"50° 9´ 17.845"" sš 12° 27´ 30.510"" vd",n/a,,,n/a,n/a,n/a,"0,690",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910211_CZ.html,"Strojírny Cheb, a.s.",251100,Podhradská 446/5,350 02 Cheb,"50° 3´ 59.131"" sš 12° 23´ 17.042"" vd",20894937,"3,7",hnědé uhlí tříděné,"1,414","0,114","0,430","0,106",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/688150033_CZ.html,Strunal Schonbach s.r.o.,322000,Petra Bezruče 730,351 37 Luby,"50° 14´ 53.600"" sš 12° 24´ 26.716"" vd",12981753,"2,1",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,019","0,001","2,257",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410512732_CZ.html,"TBG SEVEROZÁPADNÍ ČECHY s.r.o. - Betonárna, Mariánské Lázně",236300,29,353 01 Mariánské Lázně,"49° 56´ 24.160"" sš 12° 43´ 29.819"" vd",20926057,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410101022_CZ.html,"TECHNOTOOL s.r.o. - výrobní hala, Aš",256100,Lipová 622/1,352 01 Aš,"50° 13´ 9.986"" sš 12° 11´ 23.102"" vd",11856092,,,n/a,n/a,n/a,"0,000",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/600520021_CZ.html,"TEREA Cheb s.r.o. - kotelna Hedvábnická, Aš",353010,Hedvábnická 2689,352 01 Aš,"50° 13´ 37.218"" sš 12° 11´ 22.841"" vd",31014232,"18,1",zemní plyn (průměrná výhř. 34050 kJ/m3),"2,745","0,151",n/a,n/a,n/a,n/a,n/a,n/a
