id,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
778830091,"HASIT Šumavské vápenice a omítkárny, s.r.o.",236400,91,341 01 Velké Hydčice,"49° 17´ 46.663"" sš 13° 39´ 27.509"" vd",,3.4,16.063,3.447,7.656,0,2.076,0,0,0.962,zemní plyn
320300622,"HASIT Šumavské vápenice a omítkárny, s.r.o. - provozovna Hejná",236400,,341 01 Hejná,"49° 17´ 44.905"" sš 13° 40´ 30.025"" vd",,,0,0,0,0,8.234,0,0,0,
320502492,Holz Schiller s.r.o. - pila Luby,162300,24,339 01 Klatovy,"49° 22´ 22.365"" sš 13° 19´ 4.240"" vd",21418977,1.2,1.505,0.182,0.357,0,0.281,0,0,0,dřevní biomasa
320500492,"Holz Schiller s.r.o. - průmyslové zpracování dřeva, Koldinova",162300,Koldinova 799,339 01 Klatovy,"49° 24´ 22.404"" sš 13° 16´ 51.563"" vd",21485071,4.2,4.239,0.044,6.184,0,1.638,0,0,0.0,dřevní biomasa
647270013,HOLZBERG s.r.o.,412000,251,342 01 Hrádek,"49° 15´ 58.379"" sš 13° 29´ 11.327"" vd",79361480,,0,0,0,0,1.111,0,0,0,
321400112,HOLZTHERM - CZ a.s. - sušárna - výroba briket Sušice,162900,"st. p.č. 76 k.ú. Dolní Staňkov, bez čp / č. ev.",342 01 Sušice,"49° 12´ 42.767"" sš 13° 29´ 45.007"" vd",24501107,,0.098,0,2.906,0,0.249,0,0,0.578,
321400312,Ing. Jan Svatoň - sídliště Dlouhá Ves,353010,178,342 01 Dlouhá Ves,"49° 11´ 50.129"" sš 13° 30´ 27.854"" vd",6921515,0.4,0.34,1.43,0.38,0,0.08,0,0,0,hnědé uhlí tříděné
657130033,Intertell spol. s r.o. - Lisovna plastů,222900,Rozvojová zóna 556,340 21 Janovice nad Úhlavou,"49° 20´ 9.320"" sš 13° 12´ 24.413"" vd",26560631,1.0,0.064,0,0.047,0,0,6.145,0,0,zemní plyn
320501812,JITONA a.s. závod Klatovy,310900,Jateční 839,339 01 Klatovy,"49° 24´ 27.210"" sš 13° 16´ 41.754"" vd",25072609,,0,0,0,0,0.533,3.785,0,0,
320501802,Kaufland ČR v.o.s. - Klatovy,471100,Šumavská 782,339 01 Klatovy,"49° 23´ 17.063"" sš 13° 17´ 41.111"" vd",27118789,0.9,0.028,0.0,0.021,0,0.001,0,0,0,nafta;zemní plyn
657130131,"Key Plastics Janovice s.r.o., člen skupiny Key Plastics",222900,Rozvojová zóna 555,340 21 Janovice nad Úhlavou,"49° 20´ 9.512"" sš 13° 12´ 15.933"" vd",26187191,0.5,0.241,0.002,0.06,0,0.004,1.983,0,0.012,nafta;zemní plyn
320502822,KLATOVSKÁ TEPLÁRNA a.s. - Dukelská 419,353010,Dukelská 419,339 01 Klatovy,"49° 24´ 5.375"" sš 13° 17´ 20.354"" vd",21481342,0.5,0.064,0.0,0.001,0,0.0,0,0,0.0,zemní plyn
665790041,KLATOVSKÁ TEPLÁRNA a.s. - Jateční 660,353010,Jateční 660,339 01 Klatovy,"49° 24´ 35.134"" sš 13° 16´ 54.804"" vd",21483710,48.8,18.569,60.178,8.546,0,0.021,0,0,0.0,hnědé uhlí prachové;zemní plyn
320502852,KLATOVSKÁ TEPLÁRNA a.s. - Koldinova 397,353010,Koldinova 397,339 01 Klatovy,"49° 23´ 58.426"" sš 13° 17´ 33.589"" vd",21481121,0.3,0.049,0.0,0.003,0,0.0,0,0,0.0,zemní plyn
320502872,KLATOVSKÁ TEPLÁRNA a.s. - nám. Míru 63,353010,nám. Míru 63,339 01 Klatovy,"49° 23´ 40.546"" sš 13° 17´ 35.491"" vd",21476675,1.1,0.225,0.0,0.005,0,0.0,0,0,0.0,zemní plyn
320502882,KLATOVSKÁ TEPLÁRNA a.s. - Plánická 208,353010,Plánická 208,339 01 Klatovy,"49° 23´ 42.043"" sš 13° 17´ 43.106"" vd",21477931,0.4,0.026,0.0,0.027,0,0.0,0,0,0.0,zemní plyn
665790161,KLATOVSKÁ TEPLÁRNA a.s. - Plánická 626,353010,Plánická 626,339 01 Klatovy,"49° 23´ 44.020"" sš 13° 18´ 32.149"" vd",21504024,6.1,0.409,0.0,0.026,0,0.0,0,0,0.0,zemní plyn
320502862,KLATOVSKÁ TEPLÁRNA a.s. - Rozvoj 106,353010,Rozvoj 106,339 01 Klatovy,"49° 23´ 45.050"" sš 13° 18´ 11.608"" vd",21505217,0.5,0.081,0.0,0.029,0,0.0,0,0,0.0,zemní plyn
320502692,KLATOVSKÁ TEPLÁRNA a.s. - Rozvoj 87,353010,Rozvoj 87,339 01 Klatovy,"49° 23´ 45.298"" sš 13° 18´ 3.235"" vd",21505021,0.5,0.196,0.0,0.007,0,0.0,0,0,0.0,zemní plyn
320502722,KLATOVSKÁ TEPLÁRNA a.s. - Tyršova 353,353010,Tyršova 353,339 01 Klatovy,"49° 23´ 28.200"" sš 13° 17´ 41.557"" vd",21501343,0.8,0.041,0.0,0.002,0,0.0,0,0,0.0,zemní plyn
320502812,KLATOVSKÁ TEPLÁRNA a.s. - U Pazderny 410,353010,U Pazderny 410,339 01 Klatovy,"49° 24´ 6.391"" sš 13° 17´ 3.758"" vd",21491577,0.3,0.098,0.0,0.001,0,0.0,0,0,0.0,zemní plyn
320502832,KLATOVSKÁ TEPLÁRNA a.s. - Vaňkova 431,353010,Vaňkova 431,339 01 Klatovy,"49° 24´ 2.931"" sš 13° 17´ 24.662"" vd",21481466,0.9,0.289,0.0,0.002,0,0.0,0,0,0.0,zemní plyn
320502842,KLATOVSKÁ TEPLÁRNA a.s. - Wolkerova 407,353010,Wolkerova 407,339 01 Klatovy,"49° 23´ 59.236"" sš 13° 17´ 28.463"" vd",21481229,0.4,0.007,0.0,0.0,0,0.0,0,0,0.0,zemní plyn
321400182,KORAMEX a.s. - provozovna Tedražice,251100, 79,342 01 Hrádek,"49° 15´ 8.803"" sš 13° 31´ 52.280"" vd",25213598,,0,0,0,0,0,0,0,0,
320300052,"KOVALTOS, spol. s r.o. - Horažďovice",310900,Blatenská 1154,341 01 Horažďovice,"49° 19´ 42.047"" sš 13° 43´ 4.338"" vd",71096507,0.4,0.024,0,0.001,0,0,0,0,1.124,zemní plyn
320500522,"Kovodružstvo, v.d. Strážov - provozovna Strážov",282500,146,340 21 Strážov,"49° 18´ 21.476"" sš 13° 15´ 14.244"" vd",21447268,0.7,0.149,0,0.006,0,0.002,0,0,1.809,zemní plyn
665790311,"Lenka Drábová - čistírna u Košile, Klatovy",960100,Plzeňská 39,339 01 Klatovy,"49° 24´ 1.626"" sš 13° 17´ 36.013"" vd",21478643,,0,0,0,0,0,0,0,0.198,
320500572,"Lesní stavby, s.r.o. - Nýrsko",412000,Palackého 764,340 22 Nýrsko,"49° 17´ 11.534"" sš 13° 7´ 53.476"" vd",6973744,,0,0,0,0,0,0,0,0,
626530033,LESS & ENERGY s.r.o. - kotelna Dlouhá Ves,351100,286,342 01 Dlouhá Ves,"49° 11´ 21.839"" sš 13° 29´ 58.537"" vd",25757326,0.9,0.606,0,2.3,0,0.133,0,0,0,dřevní biomasa
626530023,"Less & Timber, a.s. - pila Dlouhá Ves",161000,1,342 01 Dlouhá Ves,"49° 10´ 42.329"" sš 13° 29´ 49.251"" vd",6922821,,0,0,0,0,0.482,0,0,0,
626530013,Ligno PRO s.r.o.,162400,,342 01 Dlouhá Ves,"49° 11´ 44.004"" sš 13° 29´ 35.998"" vd",26848988,4.2,0.212,0.025,0.115,0,0.68,0,0,0,dřevní biomasa
641850191,"LYCKEBY AMYLEX, a.s. - Horažďovice",106200,Strakonická 946,341 01 Horažďovice,"49° 19´ 6.712"" sš 13° 43´ 9.248"" vd",2892545,10.2,2.137,0.016,0.039,0,1.91,0,0,0,zemní plyn
320500362,MASO WEST s.r.o. - Klatovy,101100,Maxima Gorkého 682,339 01 Klatovy,"49° 24´ 5.032"" sš 13° 18´ 12.436"" vd",21483931,1.9,0.402,0.39,1.691,0,0.15,0,0,0,hnědé uhlí tříděné;zemní plyn
659530013,Max Bögl Czech s.r.o. - kamenolom Trnčí,081100,,340 12 Ježovy,"49° 28´ 27.605"" sš 13° 13´ 14.930"" vd",,,0,0,0,0,46.881,0,0,0,
