zdroj_id,nazev,mnozstvi
310065632,oxidy dusíku,0.077
310065632,oxid uhelnatý,0.012
310065632,organické látky vyjádřené jako TOC,0.272
310067812,tuhé znečišťující látky,0.034
310067812,oxid siřičitý,0.001
310067812,oxidy dusíku,0.213
310067812,oxid uhelnatý,0.035
310067812,organické látky vyjádřené jako TOC,0.007
310053732,tuhé znečišťující látky,1.145
310053732,oxidy dusíku,0.089
310053732,oxid uhelnatý,0.004
727020361,oxidy dusíku,0.285
727020361,oxid uhelnatý,0.015
727020361,tetrachlorethylen,0.102
683970023,tuhé znečišťující látky,0.05
683970023,oxidy dusíku,2.309
683970023,oxid uhelnatý,1.269
310066412,chrom šestimocný,2.3e-05
310066412,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.00303
310099322,tuhé znečišťující látky,0.001
310099322,oxid siřičitý,0.282
310099322,oxidy dusíku,4.352
310099322,oxid uhelnatý,1.223
310099322,organické látky vyjádřené jako TOC,0.059
310099322,těkavé organické látky (VOC),0.141
310099322,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.083
727070221,tuhé znečišťující látky,0.054
727070221,oxid siřičitý,0.002
727070221,oxidy dusíku,0.344
727070221,oxid uhelnatý,0.057
727070221,organické látky vyjádřené jako TOC,0.011
310059712,oxidy dusíku,0.096
310059712,oxid uhelnatý,0.024
310059712,těkavé organické látky (VOC),0.254
310093702,oxidy dusíku,0.005
310093702,oxid uhelnatý,0.001
310093702,těkavé organické látky (VOC),0.241
310064932,oxid siřičitý,0.004
310064932,oxidy dusíku,0.268
310064932,oxid uhelnatý,0.028
310064932,těkavé organické látky (VOC),0.658
755540323,těkavé organické látky (VOC),0.827
310012472,tuhé znečišťující látky,0.0
310012472,oxid siřičitý,0.0
310012472,oxidy dusíku,0.006
310012472,oxid uhelnatý,0.0
310012472,organické látky vyjádřené jako TOC,0.002
728160233,oxidy dusíku,0.0
728160233,oxid uhelnatý,0.0
119800092,oxidy dusíku,0.053
119800092,oxid uhelnatý,0.023
119800302,oxidy dusíku,0.046
119800302,oxid uhelnatý,0.002
731750053,oxidy dusíku,0.011
731750053,oxid uhelnatý,0.002
731750053,organické látky vyjádřené jako TOC,1.42
731750053,těkavé organické látky (VOC),0.563
729350043,oxidy dusíku,0.234
729350043,oxid uhelnatý,0.011
629950023,oxidy dusíku,0.03
629950023,oxid uhelnatý,0.001
629950023,organické látky vyjádřené jako TOC,0.153
629950023,těkavé organické látky (VOC),0.363
310091212,oxidy dusíku,0.147
310091212,oxid uhelnatý,0.022
729710511,těkavé organické látky (VOC),0.193
731280871,těkavé organické látky (VOC),0.134
731568461,těkavé organické látky (VOC),0.182
793260751,těkavé organické látky (VOC),0.104
732510791,těkavé organické látky (VOC),0.112
727160531,těkavé organické látky (VOC),0.371
727758271,těkavé organické látky (VOC),0.373
731670651,těkavé organické látky (VOC),0.37
732250951,těkavé organické látky (VOC),0.266
731338281,těkavé organické látky (VOC),0.025
731430671,těkavé organické látky (VOC),0.29
728730731,těkavé organické látky (VOC),0.06
727870851,těkavé organické látky (VOC),0.275
729050631,těkavé organické látky (VOC),0.601
727070381,těkavé organické látky (VOC),0.31
728220841,těkavé organické látky (VOC),0.069
119814672,těkavé organické látky (VOC),0.108
728160701,tuhé znečišťující látky,0.104
728160701,oxid siřičitý,0.004
728160701,oxidy dusíku,0.657
728160701,oxid uhelnatý,0.11
728160701,organické látky vyjádřené jako TOC,0.022
727071163,tuhé znečišťující látky,0.0
727071163,oxid siřičitý,0.0
727071163,oxidy dusíku,0.466
727071163,oxid uhelnatý,0.125
727071163,organické látky vyjádřené jako TOC,0.0
643770313,těkavé organické látky (VOC),0.008
310095522,těkavé organické látky (VOC),0.018
730740013,oxidy dusíku,0.027
730740013,oxid uhelnatý,0.04
119813322,oxidy dusíku,0.194
119813322,oxid uhelnatý,0.068
119813912,oxidy dusíku,0.943
119813912,oxid uhelnatý,0.542
119813922,oxidy dusíku,0.481
119813922,oxid uhelnatý,0.277
727590073,tuhé znečišťující látky,0.0
727590073,oxid siřičitý,0.0
727590073,oxidy dusíku,0.01
727590073,oxid uhelnatý,0.0
727590073,organické látky vyjádřené jako TOC,0.0
727590063,tuhé znečišťující látky,0.0
727590063,oxid siřičitý,0.0
727590063,oxidy dusíku,0.02
727590063,oxid uhelnatý,0.003
727590063,organické látky vyjádřené jako TOC,0.0
727590053,tuhé znečišťující látky,0.0
727590053,oxid siřičitý,0.0
727590053,oxidy dusíku,0.004
727590053,oxid uhelnatý,0.0
727590053,organické látky vyjádřené jako TOC,0.0
310095432,oxidy dusíku,0.804
310095432,oxid uhelnatý,0.106
728610721,tuhé znečišťující látky,0.009
728610721,oxidy dusíku,0.363
728610721,oxid uhelnatý,0.008
728610721,organické látky vyjádřené jako TOC,0.258
728610721,těkavé organické látky (VOC),4.764
728610721,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.0032
731941001,těkavé organické látky (VOC),0.056
643770693,organické látky vyjádřené jako TOC,1.524
643770693,těkavé organické látky (VOC),1.029
310070772,oxidy dusíku,0.26
310070772,oxid uhelnatý,0.0
310057062,oxidy dusíku,0.011
310057062,oxid uhelnatý,0.0
310003522,oxidy dusíku,0.202
310003522,oxid uhelnatý,0.007
310049982,oxidy dusíku,0.132
310049982,oxid uhelnatý,0.094
310039662,oxidy dusíku,0.004
310039662,oxid uhelnatý,0.011
310094422,tuhé znečišťující látky,0.0
310094422,oxid siřičitý,0.0
310094422,oxidy dusíku,0.004
310094422,oxid uhelnatý,0.001
310094422,organické látky vyjádřené jako TOC,0.389
601520053,tuhé znečišťující látky,0.025
601520053,chrom šestimocný,0.000213
601520053,"měď a její sloučeniny, vyjádřené jako Cu",1.38e-05
601520053,"nikl a jeho sloučeniny, vyjádřené jako Ni",2.3e-05
601520053,"zinek a jeho sloučeniny, vyjádřené jako Zn",8.28e-05
601520053,silné anorganické kyseliny,0.000173
601520053,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.001426
728830183,oxidy dusíku,0.717
728830183,oxid uhelnatý,0.043
119803192,tuhé znečišťující látky,0.038
119803192,oxid siřičitý,0.002
119803192,oxidy dusíku,0.241
119803192,oxid uhelnatý,0.041
119803192,organické látky vyjádřené jako TOC,0.008
732510043,tuhé znečišťující látky,0.606
732510043,oxidy dusíku,0.008
732510043,oxid uhelnatý,0.0
793260013,tuhé znečišťující látky,0.875
791730043,tuhé znečišťující látky,5.507
119801872,tuhé znečišťující látky,0.001
119800982,tuhé znečišťující látky,11.828
310093842,oxidy dusíku,0.208
310093842,oxid uhelnatý,0.008
728168921,těkavé organické látky (VOC),0.15
310097342,tuhé znečišťující látky,0.108
310097342,oxid siřičitý,2.642
310097342,oxidy dusíku,3.271
310097342,oxid uhelnatý,1.17
732251011,tuhé znečišťující látky,0.01
