id,nazev,nace,nuts3,ulice_cp,psc_obec,adm,x,y,lat,lon,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
727750533,CPDP 2003-OAC Roztyly,682020,CZ010,Tomíčkova 2144/1,148 00 Praha,21847011,-739707.5700000003,-1048896.2800000012,50.03885002173745,14.47535264906436,6.2,0,0,0,0,0,0,0,0,
730950083,"CPI Meteor Centre, s.r.o.",682020,CZ010,Sokolovská 100/94,186 00 Praha,22349561,-740501.4200000018,-1042580.25,50.09414383671566,14.452388945200504,2.0,0.088,0,0.015,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
727750523,"CPI Office Prague, s.r.o. - Duhová 1",682020,CZ010,Duhová 425/1,140 00 Praha,26712547,-741247.7899999991,-1047557.6099999994,50.04889468540688,14.451509905941592,4.8,0.0,0,0.0,0,0.0,0,0,0,
727410593,"CPI Office Prague, s.r.o. - LXP",682020,CZ010,Přemyslovská 2845/43,130 00 Praha,26304490,-740203.620000001,-1044336.0300000012,50.07886751976911,14.459845381200612,4.3,0.186,0,0.027,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
729718201,"Czech Airlines Technics, a.s.",331600,CZ010,Jana Kašpara 1069/1,161 00 Praha,25841459,-753002.5700000003,-1039506.3599999994,50.1061109453552,14.273404909906334,,0.314,0.911,0,0,0.01,8.608,0,0.076868513,
732450781,CZECH PRINT CENTER a.s. - Malešice,181100,CZ010,Černokostelecká 613/145,108 00 Praha,22765760,-734993.4299999997,-1045383.75,50.07587331606376,14.533951094652895,2.3,0.115,0,0.005,0,0,4.91,0,0.642,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
119801312,ČD - Telematika a.s. - telekomunikační areál,611040,CZ010,Pod Táborem 369/8a,190 00 Praha,26627949,-736183.1099999994,-1043511.6400000006,50.09110803832047,14.513948763889406,8.3,0,0,0,0,0,0,0,0,nafta
119804492,ČEKOV - PL,251100,CZ010,Dopraváků 723/1,184 00 Praha,22341609,-740154.2899999991,-1037795.3900000006,50.13718987068553,14.448102552006521,,0.012,0,0.006,0,0.001,0.002,0,0.002,
310098942,"ČEPS, a.s. - Areál Bohdalec",351200,CZ010,Elektrárenská 774/2,101 00 Praha,22592946,-739344.3900000006,-1046373.1499999985,50.06176929015092,14.47559934987539,1.9,0,0,0,0,0,0,0,0,nafta
310098952,"ČEPS, a.s. - TR Chodov",351200,CZ010,Kunratická spojka 250,149 00 Praha,22765328,-738072.5100000016,-1051577.960000001,50.01695143059488,14.503032181425597,1.5,0,0,0,0,0,0,0,0,nafta
310098962,"ČEPS, a.s. - TR Malešice",351200,CZ010,Teplárenská,100 00 Praha,,,,,,0.7,0,0,0,0,0,0,0,0,nafta
310098972,"ČEPS, a.s. - TR Řeporyje",351200,CZ010,,155 00 Praha,,,,,,1.0,0,0,0,0,0,0,0,0,nafta
310060342,"Česká národní banka - Praha, Na Příkopě 001",641100,CZ010,Na příkopě 864/28,110 00 Praha,78508088,-742290.1700000018,-1043130.5799999982,50.087053358694185,14.4286694895029,5.4,0.265,0,0.059,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310060352,"Česká národní banka - Praha, Na Příkopě 002",641100,CZ010,Na příkopě 864/28,110 00 Praha,78508088,-742290.1700000018,-1043130.5799999982,50.087053358694185,14.4286694895029,4.6,0,0,0,0,0,0,0,0,nafta
